"Column1","Pickup point","Status","Request Hour","Request Day","Request Timeslot"
"1755","Airport","Trip Completed","12","Friday","Afternoon"
"1228","City","Trip Completed","12","Friday","Afternoon"
"2529","Airport","Trip Completed","12","Friday","Afternoon"
"372","Airport","Trip Completed","12","Friday","Afternoon"
"2486","Airport","Trip Completed","12","Friday","Afternoon"
"447","Airport","Trip Completed","12","Friday","Afternoon"
"2399","Airport","Trip Completed","12","Friday","Afternoon"
"887","Airport","Trip Completed","12","Friday","Afternoon"
"3682","Airport","Cancelled","12","Friday","Afternoon"
"2093","Airport","Trip Completed","12","Friday","Afternoon"
"183","Airport","Trip Completed","12","Friday","Afternoon"
"3655","City","Cancelled","12","Friday","Afternoon"
"2163","Airport","Trip Completed","12","Friday","Afternoon"
"1902","City","Trip Completed","12","Friday","Afternoon"
"2283","Airport","Trip Completed","12","Friday","Afternoon"
"1893","Airport","Trip Completed","12","Friday","Afternoon"
"1276","Airport","Trip Completed","12","Friday","Afternoon"
"1472","Airport","Trip Completed","12","Friday","Afternoon"
"1796","Airport","Trip Completed","12","Friday","Afternoon"
"2739","City","Trip Completed","12","Friday","Afternoon"
"138","City","Trip Completed","12","Friday","Afternoon"
"2716","Airport","Trip Completed","12","Friday","Afternoon"
"6352","City","No Cars Available","12","Friday","Afternoon"
"6351","Airport","No Cars Available","12","Friday","Afternoon"
"6349","City","No Cars Available","12","Friday","Afternoon"
"6340","City","No Cars Available","12","Friday","Afternoon"
"6339","Airport","No Cars Available","12","Friday","Afternoon"
"6350","City","No Cars Available","12","Friday","Afternoon"
"6348","City","No Cars Available","12","Friday","Afternoon"
"6338","City","No Cars Available","12","Friday","Afternoon"
"6347","City","No Cars Available","12","Friday","Afternoon"
"6342","City","No Cars Available","12","Friday","Afternoon"
"6343","City","No Cars Available","12","Friday","Afternoon"
"6341","City","No Cars Available","12","Friday","Afternoon"
"6345","City","No Cars Available","12","Friday","Afternoon"
"6346","City","No Cars Available","12","Friday","Afternoon"
"6344","Airport","No Cars Available","12","Friday","Afternoon"
"1498","Airport","Trip Completed","13","Friday","Afternoon"
"4041","City","Cancelled","13","Friday","Afternoon"
"2336","City","Trip Completed","13","Friday","Afternoon"
"587","Airport","Trip Completed","13","Friday","Afternoon"
